analysis_set,fpr,tpr,threshold,roc_auc,n,n_pos,n_neg
original,0.057235104197240975,0.3885135135135135,0.80609715,0.8400072089259792,3999,592,3407
original,0.057235104197240975,0.3952702702702703,0.8048909,0.8400072089259792,3999,592,3407
original,0.05752861755209862,0.3952702702702703,0.8046557,0.8400072089259792,3999,592,3407
original,0.05752861755209862,0.3969594594594595,0.8045612,0.8400072089259792,3999,592,3407
original,0.057822130906956266,0.3969594594594595,0.8045304,0.8400072089259792,3999,592,3407
original,0.057822130906956266,0.39864864864864863,0.80451226,0.8400072089259792,3999,592,3407
original,0.05840915761667156,0.39864864864864863,0.8044131,0.8400072089259792,3999,592,3407
original,0.059289697681244494,0.39864864864864863,0.80348396,0.8400072089259792,3999,592,3407
original,0.059289697681244494,0.40371621621621623,0.8026805,0.8400072089259792,3999,592,3407
original,0.059583211036102146,0.40371621621621623,0.8021298,0.8400072089259792,3999,592,3407
original,0.059583211036102146,0.40709459459459457,0.8015914,0.8400072089259792,3999,592,3407
original,0.06017023774581744,0.40709459459459457,0.8015046,0.8400072089259792,3999,592,3407
original,0.06017023774581744,0.40878378378378377,0.80106515,0.8400072089259792,3999,592,3407
original,0.062224831229820955,0.40878378378378377,0.7990893,0.8400072089259792,3999,592,3407
original,0.062224831229820955,0.41216216216216217,0.79894996,0.8400072089259792,3999,592,3407
original,0.06281185793953625,0.41216216216216217,0.7982477,0.8400072089259792,3999,592,3407
original,0.06281185793953625,0.4155405405405405,0.79728913,0.8400072089259792,3999,592,3407
original,0.06369239800410918,0.4155405405405405,0.7969712,0.8400072089259792,3999,592,3407
original,0.06427942471382447,0.4155405405405405,0.7963799,0.8400072089259792,3999,592,3407
original,0.06427942471382447,0.4206081081081081,0.7950402,0.8400072089259792,3999,592,3407
original,0.06486645142353976,0.4206081081081081,0.79417515,0.8400072089259792,3999,592,3407
original,0.06486645142353976,0.4222972972972973,0.7939718,0.8400072089259792,3999,592,3407
original,0.06515996477839742,0.4222972972972973,0.7936008,0.8400072089259792,3999,592,3407
original,0.06515996477839742,0.4239864864864865,0.79359716,0.8400072089259792,3999,592,3407
original,0.06574699148811271,0.4239864864864865,0.79337037,0.8400072089259792,3999,592,3407
original,0.06574699148811271,0.42567567567567566,0.7932921,0.8400072089259792,3999,592,3407
original,0.06662753155268565,0.42567567567567566,0.7927308,0.8400072089259792,3999,592,3407
original,0.06662753155268565,0.42905405405405406,0.7924932,0.8400072089259792,3999,592,3407
original,0.06692104490754329,0.42905405405405406,0.7924226,0.8400072089259792,3999,592,3407
original,0.06692104490754329,0.43074324324324326,0.7923048,0.8400072089259792,3999,592,3407
original,0.06809509832697387,0.43074324324324326,0.7914579,0.8400072089259792,3999,592,3407
original,0.06809509832697387,0.43243243243243246,0.79134476,0.8400072089259792,3999,592,3407
original,0.06838861168183152,0.43243243243243246,0.7912679,0.8400072089259792,3999,592,3407
original,0.06838861168183152,0.4341216216216216,0.7909546,0.8400072089259792,3999,592,3407
original,0.06868212503668918,0.4341216216216216,0.7906737,0.8400072089259792,3999,592,3407
original,0.06868212503668918,0.4358108108108108,0.7904504,0.8400072089259792,3999,592,3407
original,0.0695626651012621,0.4358108108108108,0.7899462,0.8400072089259792,3999,592,3407
original,0.0695626651012621,0.44425675675675674,0.7879784,0.8400072089259792,3999,592,3407
original,0.07044320516583505,0.44425675675675674,0.7869991,0.8400072089259792,3999,592,3407
original,0.07044320516583505,0.44594594594594594,0.78694606,0.8400072089259792,3999,592,3407
original,0.07161725858526563,0.44594594594594594,0.7863318,0.8400072089259792,3999,592,3407
original,0.07161725858526563,0.44763513513513514,0.78616947,0.8400072089259792,3999,592,3407
original,0.07220428529498092,0.44763513513513514,0.78593963,0.8400072089259792,3999,592,3407
original,0.07220428529498092,0.4527027027027027,0.78559124,0.8400072089259792,3999,592,3407
original,0.07249779864983857,0.4527027027027027,0.7854407,0.8400072089259792,3999,592,3407
original,0.07249779864983857,0.4560810810810811,0.78485274,0.8400072089259792,3999,592,3407
original,0.07279131200469621,0.4560810810810811,0.78456354,0.8400072089259792,3999,592,3407
original,0.07279131200469621,0.4594594594594595,0.7842107,0.8400072089259792,3999,592,3407
original,0.07279131200469621,0.46114864864864863,0.7838893,0.8400072089259792,3999,592,3407
